From	To
Q14790	CASP8
P29466	CASP1
P42575	CASP2
P14735	IDE
Q96NT5	SLC46A1
P15328	FOLR1
P22102	GART
P41440	SLC19A1
P14207	FOLR2
P10619	CTSA
P43119	PTGIR
P05556	ITGB1
P13612	ITGA4
Q9UHC3	ASIC3
Q9BPW0	PPP5C
Q9NWZ3	IRAK4
O60706	ABCC9
O00142	TK2
P47901	AVPR1B
P30559	OXTR
Q8IV61	RASGRP3
Q15046	KARS1
P49759	CLK1
P00740	F9
P56373	P2RX3
Q12884	FAP
O75914	PAK3
Q13177	PAK2
Q13153	PAK1
P20701	ITGAL
P05107	ITGB2
P16591	FER
Q16620	NTRK2
P07332	FES
P08922	ROS1
Q16288	NTRK3
Q00796	SORD
Q13951	CBFB
Q9H244	P2RY12
Q16665	HIF1A
P25100	ADRA1D
Q9P2J5	LARS1
P25116	F2R
P00813	ADA
Q00987	MDM2
O60563	CCNT1
P32418	SLC8A1
Q9NZ45	CISD1
Q16853	AOC3
Q12791	KCNMA1
P08263	GSTA1
P63316	TNNC1
P45379	TNNT2
P19429	TNNI3
P10696	ALPG
Q9UBU7	DBF4
Q07973	CYP24A1
Q02318	CYP27A1
P21980	TGM2
O00418	EEF2K
P00325	ADH1B
Q9NTG7	SIRT3
Q04759	PRKCQ
Q16875	PFKFB3
O75716	STK16
P49760	CLK2
Q00526	CDK3
Q00536	CDK16
Q8TD08	MAPK15
Q07002	CDK18
Q13164	MAPK7
Q00537	CDK17
P31751	AKT2
Q9Y243	AKT3
Q96Q15	SMG1
P04183	TK1
P37023	ACVRL1
O95136	S1PR2
Q00534	CDK6
P41146	OPRL1
Q15139	PRKD1
P25440	BRD2
P04632	CAPNS1
Q9Y2I1	NISCH
P50579	METAP2
O60760	HPGDS
Q13315	ATM
O00206	TLR4
Q01469	FABP5
P05413	FABP3
Q4U2R8	SLC22A6
P12104	FABP2
Q9UPP1	PHF8
Q9Y2K7	KDM2A
P43088	PTGFR
Q9Y2Q3	GSTK1
Q9UJM8	HAO1
P80365	HSD11B2
Q5NUL3	FFAR4
O75419	CDC45
P02766	TTR
Q96S37	SLC22A12
Q13258	PTGDR
P53985	SLC16A1
P10276	RARA
P13631	RARG
P10826	RARB
P14550	AKR1A1
P10145	CXCL8
P08842	STS
O14976	GAK
Q15303	ERBB4
P24530	EDNRB
Q6J4K2	SLC8B1
P00492	HPRT1
Q9UKP6	UTS2R
P42858	HTT
O43293	DAPK3
Q6P988	NOTUM
P25021	HRH2
O76083	PDE9A
P15382	KCNE1
P51787	KCNQ1
P54753	EPHB3
Q8TBX8	PIP4K2C
Q58F21	BRDT
Q8TDS4	HCAR2
Q13332	PTPRS
P04745	AMY1A
P04745	AMY1B
P04745	AMY1C
Q04760	GLO1
P05089	ARG1
P13569	CFTR
Q13564	NAE1
