gene	type
LGALS1	im_GMK
IL17RA	im_GMK
PATZ1	im_GMK
EPHA1	im_GMK
NRIP3	im_GMK
ADORA2A	im_GMK
MAGEA8	im_GMK
STAT4	im_GMK
KIAA0232	im_GMK
CROCC	im_GMK
SLC9A7	im_GMK
FLT1	im_GMK
IL2RA	im_GMK
CHMP4A	im_GMK
DYNC1I2	im_GMK
RNASE13	im_GMK
KIR3DL2	im_GMK
PNKD	im_GMK
ZNF316	im_GMK
EPPIN	im_GMK
PI4K2A	im_GMK
TRIM46	im_GMK
CD3G	im_GMK
AEN	im_GMK
PRSS27	im_GMK
ZNF512B	im_GMK
PTOV1	im_GMK
TPM4	im_GMK
FBP1	im_GMK
SMPDL3A	im_GMK
ZSWIM5	im_GMK
EIF3F	im_GMK
RIPK1	im_GMK
BCMO1	im_GMK
ANXA2	im_GMK
PTK2	im_GMK
CSF1	im_GMK
PCK2	im_GMK
SYT2	im_GMK
GID8	im_GMK
UBE2W	im_GMK
FAM177B	im_GMK
CIB4	im_GMK
PRKCSH	im_GMK
GABRB1	im_GMK
VAPA	im_GMK
ZNF324	im_GMK
JMJD4	im_GMK
C11orf49	im_GMK
NANS	im_GMK
RHBDD3	im_GMK
APBB2	im_GMK
TRIM11	im_GMK
C1orf35	im_GMK
GALNT6	im_GMK
HSP90AA2	im_GMK
DNAJC10	im_GMK
CD58	im_GMK
NAP1L4	im_GMK
LOC100996890	im_GMK
MFAP3	im_GMK
NECAB2	im_GMK
LOC400682	im_GMK
TM4SF19	im_GMK
ATP1B1	im_GMK
CCDC7	im_GMK
MEF2D	im_GMK
NDFIP2	im_GMK
NDNL2	im_GMK
ANK1	im_GMK
S100A11	im_GMK
ZC3H3	im_GMK
AGFG2	im_GMK
ZFAND2B	im_GMK
ABLIM1	im_GMK
WIBG	im_GMK
OSBP2	im_GMK
SLCO2A1	im_GMK
EIF3L	im_GMK
EPRS	im_GMK
C17orf75	im_GMK
E2F4	im_GMK
RPS8	im_GMK
HSCB	im_GMK
NRL	im_GMK
DCAF6	im_GMK
AVP	im_GMK
NELFA	im_GMK
CCNJ	im_GMK
NPSR1	im_GMK
PEX10	im_GMK
RHOT2	im_GMK
CTBP1	im_GMK
HINFP	im_GMK
GALNTL6	im_GMK
ARIH2OS	im_GMK
USP31	im_GMK
ETNK2	im_GMK
C11orf45	im_GMK
LYSMD2	im_GMK
RAB20	im_GMK
AK2	im_GMK
TM4SF5	im_GMK
CD79B	im_GMK
FMO1	im_GMK
PRF1	im_GMK
TMEM39B	im_GMK
MTERFD2	im_GMK
PGM5	im_GMK
PLXDC1	im_GMK
SETD1A	im_GMK
KRTAP12-2	im_GMK
NTRK3	im_GMK
ZFAND1	im_GMK
PRRG4	im_GMK
EXT1	im_GMK
LIN9	im_GMK
FERMT3	im_GMK
TLR2	im_GMK
STK3	im_GMK
RRP9	im_GMK
HSD11B1L	im_GMK
CLMN	im_GMK
LYZL6	im_GMK
RASSF4	im_GMK
ACD	im_GMK
CCDC43	im_GMK
IGSF22	im_GMK
JAK3	im_GMK
HSPA1L	im_GMK
SLC6A2	im_GMK
COL5A1	im_GMK
ABCD2	im_GMK
NKD2	im_GMK
MGC42157	im_GMK
NSMF	im_GMK
RTKN2	im_GMK
G3BP1	im_GMK
HS2ST1	im_GMK
ATP9A	im_GMK
IL2RB	im_GMK
SCP2	im_GMK
AFG3L2	im_GMK
C7orf34	im_GMK
CCR7	im_GMK
LINC00607	im_GMK
FXN	im_GMK
ZGRF1	im_GMK
KRTAP26-1	im_GMK
ECHDC2	im_GMK
APOBEC3G	im_GMK
ZNF663P	im_GMK
BTN2A1	im_GMK
DCAF4L2	im_GMK
MOCS1	im_GMK
F3	im_GMK
RANBP10	im_GMK
GRIA4	im_GMK
ZBTB5	im_GMK
SEMA4D	im_GMK
HDC	im_GMK
ARPC4-TTLL3	im_GMK
RGCC	im_GMK
SV2B	im_GMK
CHRFAM7A	im_GMK
LOC400965	im_GMK
CLCN3	im_GMK
CDKN1C	im_GMK
FAM155A	im_GMK
GAREML	im_GMK
ALDH3A2	im_GMK
CD6	im_GMK
GUF1	im_GMK
SOWAHC	im_GMK
METTL22	im_GMK
KIR2DS4	im_GMK
EEF2	im_GMK
SYAP1	im_GMK
OR1C1	im_GMK
PHGDH	im_GMK
CBS	im_GMK
ZRANB3	im_GMK
AQP5	im_GMK
TREM2	im_GMK
NAT8L	im_GMK
CHAC1	im_GMK
TTC28	im_GMK
WDFY1	im_GMK
CDH23	im_GMK
CLNS1A	im_GMK
CNTN6	im_GMK
GZMH	im_GMK
TGIF2	im_GMK
MLST8	im_GMK
CERS3	im_GMK
SPP2	im_GMK
HAUS5	im_GMK
LOC401437	im_GMK
NUP62	im_GMK
MMP25	im_GMK
EVA1C	im_GMK
PYHIN1	im_GMK
DGKD	im_GMK
OR11A1	im_GMK
TINF2	im_GMK
CCL28	im_GMK
CALCA	im_GMK
PASK	im_GMK
CDC25B	im_GMK
HYLS1	im_GMK
ACO1	im_GMK
LY6G5B	im_GMK
GPS2	im_GMK
SELL	im_GMK
SERPINA12	im_GMK
UROS	im_GMK
FAM132A	im_GMK
CNOT3	im_GMK
MSRB2	im_GMK
TADA2A	im_GMK
AMICA1	im_GMK
FBXO46	im_GMK
ATP6V1H	im_GMK
GTPBP6	im_GMK
RGS9	im_GMK
SLC30A9	im_GMK
CD8B	im_GMK
RPL17	im_GMK
NCR3LG1	im_GMK
KCNJ1	im_GMK
SPHK2	im_GMK
PANX3	im_GMK
RGS6	im_GMK
C5orf49	im_GMK
SMS	im_GMK
LINC01060	im_GMK
MITF	im_GMK
DMTN	im_GMK
REEP1	im_GMK
MITD1	im_GMK
TRAPPC2	im_GMK
NOS1	im_GMK
TMEM121	im_GMK
FGF17	im_GMK
FAM69B	im_GMK
CD247	im_GMK
GPR26	im_GMK
